Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
はち八,愛媛県今治市郷本町2-3-8,食べログ 鳥料理 百名店 2025,https://tabelog.com/ehime/A3802/A380201/38000085/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%AF%E3%81%A1%E5%85%AB%20%E6%84%9B%E5%AA%9B%E7%9C%8C%E4%BB%8A%E6%B2%BB%E5%B8%82%E9%83%B7%E6%9C%AC%E7%94%BA2-3-8,34.0471606,132.9962553,2025,鳥料理,toriryori,発表日：2025年10月28日
小林 地鶏の里,宮崎県小林市南西方1247-1,食べログ 鳥料理 百名店 2025,https://tabelog.com/miyazaki/A4503/A450304/45000391/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E6%9E%97%20%E5%9C%B0%E9%B6%8F%E3%81%AE%E9%87%8C%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E5%B0%8F%E6%9E%97%E5%B8%82%E5%8D%97%E8%A5%BF%E6%96%B91247-1,31.9842416,130.9362745,2025,鳥料理,toriryori,発表日：2025年10月28日
軍鶏丸,東京都渋谷区恵比寿南2-3-11 杉浦ビル 1F,食べログ 鳥料理 百名店 2025,https://tabelog.com/tokyo/A1303/A130302/13003326/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E8%BB%8D%E9%B6%8F%E4%B8%B8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%E5%8D%972-3-11%20%E6%9D%89%E6%B5%A6%E3%83%93%E3%83%AB%201F,35.6453622,139.7073898,2025,鳥料理,toriryori,発表日：2025年10月28日
鶏ん家 名古屋新栄店,愛知県名古屋市中区東桜2-22-22 あけぼのビル 1F 1B,食べログ 鳥料理 百名店 2025,https://tabelog.com/aichi/A2301/A230104/23091520/,https://tabelog.com/aichi/A2301/A230104/23091520/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E9%B6%8F%E3%82%93%E5%AE%B6%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E6%96%B0%E6%A0%84%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%9D%B1%E6%A1%9C2-22-22%20%E3%81%82%E3%81%91%E3%81%BC%E3%81%AE%E3%83%93%E3%83%AB%201F%201B,35.1697307,136.9163387,2025,鳥料理,toriryori,発表日：2025年10月28日
とり焼き さじ,大阪府大阪市北区堂島1-3-17 スリ－エイトビル 3F,食べログ 鳥料理 百名店 2025,https://tabelog.com/osaka/A2701/A270101/27085777/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%E7%84%BC%E3%81%8D%20%E3%81%95%E3%81%98%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A0%82%E5%B3%B61-3-17%20%E3%82%B9%E3%83%AA%EF%BC%8D%E3%82%A8%E3%82%A4%E3%83%88%E3%83%93%E3%83%AB%203F,34.6967079,135.4972178,2025,鳥料理,toriryori,発表日：2025年10月28日
咲鶏や,大阪府大阪市中央区谷町2-3-6 大手前ストークマンション 1F,食べログ 鳥料理 百名店 2025,https://tabelog.com/osaka/A2701/A270104/27058871/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%92%B2%E9%B6%8F%E3%82%84%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%B0%B7%E7%94%BA2-3-6%20%E5%A4%A7%E6%89%8B%E5%89%8D%E3%82%B9%E3%83%88%E3%83%BC%E3%82%AF%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%201F,34.6849266,135.5176049,2025,鳥料理,toriryori,発表日：2025年10月28日
とり焼肉鳥壱 栄女子大店,愛知県名古屋市中区栄4-18-8 第2秀和ビル 1F,食べログ 鳥料理 百名店 2025,https://tabelog.com/aichi/A2301/A230103/23082426/,https://tabelog.com/aichi/A2301/A230103/23082426/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%E7%84%BC%E8%82%89%E9%B3%A5%E5%A3%B1%20%E6%A0%84%E5%A5%B3%E5%AD%90%E5%A4%A7%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%844-18-8%20%E7%AC%AC2%E7%A7%80%E5%92%8C%E3%83%93%E3%83%AB%201F,35.1665979,136.9123931,2025,鳥料理,toriryori,発表日：2025年10月28日
じどりや 穏座,滋賀県大津市真野4-9-50,食べログ 鳥料理 百名店 2025,https://tabelog.com/shiga/A2501/A250101/25000920/,https://tabelog.com/shiga/A2501/A250101/25000920/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%98%E3%81%A9%E3%82%8A%E3%82%84%20%E7%A9%8F%E5%BA%A7%20%E6%BB%8B%E8%B3%80%E7%9C%8C%E5%A4%A7%E6%B4%A5%E5%B8%82%E7%9C%9F%E9%87%8E4-9-50,35.1302701,135.9182226,2025,鳥料理,toriryori,発表日：2025年10月28日
前島食堂,三重県松阪市大河内町612-1,食べログ 鳥料理 百名店 2025,https://tabelog.com/mie/A2401/A240102/24001314/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%89%8D%E5%B3%B6%E9%A3%9F%E5%A0%82%20%E4%B8%89%E9%87%8D%E7%9C%8C%E6%9D%BE%E9%98%AA%E5%B8%82%E5%A4%A7%E6%B2%B3%E5%86%85%E7%94%BA612-1,34.5307174,136.4770504,2025,鳥料理,toriryori,発表日：2025年10月28日
鳥やす,新潟県新潟市中央区上大川前通11-1899,食べログ 鳥料理 百名店 2025,https://tabelog.com/niigata/A1501/A150101/15011511/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E3%82%84%E3%81%99%20%E6%96%B0%E6%BD%9F%E7%9C%8C%E6%96%B0%E6%BD%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E4%B8%8A%E5%A4%A7%E5%B7%9D%E5%89%8D%E9%80%9A11-1899,37.9275111,139.0494382,2025,鳥料理,toriryori,発表日：2025年10月28日
鬼亭,東京都渋谷区渋谷1-9-4,食べログ 鳥料理 百名店 2025,https://tabelog.com/tokyo/A1303/A130301/13003491/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E9%AC%BC%E4%BA%AD%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%B8%8B%E8%B0%B71-9-4,35.6604244,139.7043726,2025,鳥料理,toriryori,発表日：2025年10月28日
とり料理ふじ,東京都品川区西五反田2-15-11 松岡ビル 2Ｆ,食べログ 鳥料理 百名店 2025,https://tabelog.com/tokyo/A1316/A131603/13155948/,https://tabelog.com/tokyo/A1316/A131603/13155948/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E3%81%A8%E3%82%8A%E6%96%99%E7%90%86%E3%81%B5%E3%81%98%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%93%81%E5%B7%9D%E5%8C%BA%E8%A5%BF%E4%BA%94%E5%8F%8D%E7%94%B02-15-11%20%E6%9D%BE%E5%B2%A1%E3%83%93%E3%83%AB%202%EF%BC%A6,35.6260046,139.7207179,2025,鳥料理,toriryori,発表日：2025年10月28日
焼鳥食堂,大阪府大阪市北区天神橋3-11-9 天神橋ビル 1F,食べログ 鳥料理 百名店 2025,https://tabelog.com/osaka/A2701/A270103/27132604/,https://tabelog.com/osaka/A2701/A270103/27132604/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%84%BC%E9%B3%A5%E9%A3%9F%E5%A0%82%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A4%A9%E7%A5%9E%E6%A9%8B3-11-9%20%E5%A4%A9%E7%A5%9E%E6%A9%8B%E3%83%93%E3%83%AB%201F,34.7027168,135.5118766,2025,鳥料理,toriryori,発表日：2025年10月28日
地鶏庵城の平,宮崎県東諸県郡綾町入野2794-2,食べログ 鳥料理 百名店 2025,https://tabelog.com/miyazaki/A4501/A450102/45006031/,https://yoyaku.tabelog.com/yoyaku/tabelog_booking/send_remind/,https://www.google.com/maps/search/?api=1&query=%E5%9C%B0%E9%B6%8F%E5%BA%B5%E5%9F%8E%E3%81%AE%E5%B9%B3%20%E5%AE%AE%E5%B4%8E%E7%9C%8C%E6%9D%B1%E8%AB%B8%E7%9C%8C%E9%83%A1%E7%B6%BE%E7%94%BA%E5%85%A5%E9%87%8E2794-2,31.9912054,131.2712582,2025,鳥料理,toriryori,発表日：2025年10月28日
