Name,Address,Description,Website,Tabelog Reservation URL,Google Maps URL,Latitude,Longitude,Year,Genre,Genre Slug,Release Date
八仙,宮城県仙台市青葉区一番町2-4-13 文化横丁,食べログ 百名店: 2019 | 2021 | 2024 / 餃子 | 中国料理 EAST,https://tabelog.com/miyagi/A0401/A040101/4000029/,,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E4%BB%99%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA%E4%B8%80%E7%95%AA%E7%94%BA2-4-13%20%E6%96%87%E5%8C%96%E6%A8%AA%E4%B8%81,38.2590816,140.8729054,2019 | 2021 | 2024,餃子 | 中国料理 EAST,gyoza | chinese_east,発表日：2021年9月8日 | 発表日：2024年6月11日
ひげ,大阪府大阪市北区芝田1-6-11,食べログ 百名店: 2019 | 2023 / 餃子 | 中国料理 WEST,https://tabelog.com/osaka/A2701/A270101/27020785/,,https://www.google.com/maps/search/?api=1&query=%E3%81%B2%E3%81%92%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%E8%8A%9D%E7%94%B01-6-11,34.7067630,135.4977923,2019 | 2023,餃子 | 中国料理 WEST,gyoza | chinese_west,発表日：2023年3月27日
餃子李,福岡県福岡市中央区薬院3-1-11 福海ビル 1F,食べログ 百名店: 2019 | 2021 | 2024 / 餃子 | 中国料理 WEST,https://tabelog.com/fukuoka/A4001/A400104/40000194/,,https://www.google.com/maps/search/?api=1&query=%E9%A4%83%E5%AD%90%E6%9D%8E%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E8%96%AC%E9%99%A23-1-11%20%E7%A6%8F%E6%B5%B7%E3%83%93%E3%83%AB%201F,33.5811465,130.4001085,2019 | 2021 | 2024,餃子 | 中国料理 WEST,gyoza | chinese_west,発表日：2021年9月8日 | 発表日：2024年6月11日
和の中,栃木県宇都宮市駒生町1296-33,食べログ 百名店: 2019 | 2021 | 2024 / 餃子 | 中国料理 EAST,https://tabelog.com/tochigi/A0901/A090101/9000118/,,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E3%81%AE%E4%B8%AD%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E9%A7%92%E7%94%9F%E7%94%BA1296-33,36.5790974,139.8450072,2019 | 2021 | 2024,餃子 | 中国料理 EAST,gyoza | chinese_east,発表日：2021年9月8日 | 発表日：2024年6月11日
崎陽軒本店 嘉宮,神奈川県横浜市西区高島2-13-12 崎陽軒本店　２Ｆ,食べログ 百名店: 2021 | 2024 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140101/14000069/,https://tabelog.com/kanagawa/A1401/A140101/14000069/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%B4%8E%E9%99%BD%E8%BB%92%E6%9C%AC%E5%BA%97%20%E5%98%89%E5%AE%AE%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%AB%98%E5%B3%B62-13-12%20%E5%B4%8E%E9%99%BD%E8%BB%92%E6%9C%AC%E5%BA%97%E3%80%80%EF%BC%92%EF%BC%A6,35.4642111,139.6229946,2021 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2024年6月11日
クロモリ,宮城県仙台市太白区向山2-2-24,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/miyagi/A0401/A040105/4022461/,,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%AD%E3%83%A2%E3%83%AA%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%99%E5%8F%B0%E5%B8%82%E5%A4%AA%E7%99%BD%E5%8C%BA%E5%90%91%E5%B1%B12-2-24,38.2468609,140.8688910,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
中国料理 保昌,神奈川県横浜市中区山下町138,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14000147/,https://tabelog.com/kanagawa/A1401/A140105/14000147/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E4%BF%9D%E6%98%8C%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA138,35.4426085,139.6457766,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
華隆餐館,神奈川県横浜市中区長者町5-71-1  エスポワール伊勢佐木長者町　１Ｆ,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140104/14005003/,,https://www.google.com/maps/search/?api=1&query=%E8%8F%AF%E9%9A%86%E9%A4%90%E9%A4%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E9%95%B7%E8%80%85%E7%94%BA5-71-1%20%20%E3%82%A8%E3%82%B9%E3%83%9D%E3%83%AF%E3%83%BC%E3%83%AB%E4%BC%8A%E5%8B%A2%E4%BD%90%E6%9C%A8%E9%95%B7%E8%80%85%E7%94%BA%E3%80%80%EF%BC%91%EF%BC%A6,35.4417772,139.6310819,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
シルクロードガーデン,千葉県浦安市舞浜1-13 東京ディズニー・シーホテルミラコスタ,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/chiba/A1202/A120203/12002798/,,https://www.google.com/maps/search/?api=1&query=%E3%82%B7%E3%83%AB%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%89%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3%20%E5%8D%83%E8%91%89%E7%9C%8C%E6%B5%A6%E5%AE%89%E5%B8%82%E8%88%9E%E6%B5%9C1-13%20%E6%9D%B1%E4%BA%AC%E3%83%87%E3%82%A3%E3%82%BA%E3%83%8B%E3%83%BC%E3%83%BB%E3%82%B7%E3%83%BC%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9F%E3%83%A9%E3%82%B3%E3%82%B9%E3%82%BF,35.6271193,139.8874756,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
中華料理 香州,北海道札幌市中央区南三条西4丁目,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/hokkaido/A0101/A010103/1000195/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E6%96%99%E7%90%86%20%E9%A6%99%E5%B7%9E%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E4%B8%89%E6%9D%A1%E8%A5%BF4%E4%B8%81%E7%9B%AE,43.0568636,141.3516983,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
名鉄菜館,静岡県御殿場市新橋732-1,食べログ 百名店: 2021 | 2023 / 中国料理 EAST,https://tabelog.com/shizuoka/A2204/A220402/22000041/,,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E9%89%84%E8%8F%9C%E9%A4%A8%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E5%BE%A1%E6%AE%BF%E5%A0%B4%E5%B8%82%E6%96%B0%E6%A9%8B732-1,35.2989548,138.9414539,2021 | 2023,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日
萬来亭,神奈川県横浜市中区山下町126,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14000669/,,https://www.google.com/maps/search/?api=1&query=%E8%90%AC%E6%9D%A5%E4%BA%AD%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA126,35.4414517,139.6467225,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
江南 柳橋本店,愛知県名古屋市中村区名駅5-31-8,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/aichi/A2301/A230101/23000273/,,https://www.google.com/maps/search/?api=1&query=%E6%B1%9F%E5%8D%97%20%E6%9F%B3%E6%A9%8B%E6%9C%AC%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%855-31-8,35.1686754,136.8901315,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
龍味,神奈川県横浜市西区北幸1-1-8 エキニア横浜 B1F,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140101/14009251/,,https://www.google.com/maps/search/?api=1&query=%E9%BE%8D%E5%91%B3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E8%A5%BF%E5%8C%BA%E5%8C%97%E5%B9%B81-1-8%20%E3%82%A8%E3%82%AD%E3%83%8B%E3%82%A2%E6%A8%AA%E6%B5%9C%20B1F,35.4676323,139.6213906,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
茗圃,愛知県名古屋市中区栄2-12-22 ウィンコート白川　１Ｆ,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/aichi/A2301/A230102/23033553/,https://tabelog.com/aichi/A2301/A230102/23033553/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E8%8C%97%E5%9C%83%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%842-12-22%20%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B3%E3%83%BC%E3%83%88%E7%99%BD%E5%B7%9D%E3%80%80%EF%BC%91%EF%BC%A6,35.1656328,136.9010160,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
川菜味,千葉県船橋市本町2-10-29,食べログ 百名店: 2021 | 2024 / 中国料理 EAST,https://tabelog.com/chiba/A1202/A120201/12000282/,,https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E8%8F%9C%E5%91%B3%20%E5%8D%83%E8%91%89%E7%9C%8C%E8%88%B9%E6%A9%8B%E5%B8%82%E6%9C%AC%E7%94%BA2-10-29,35.6977346,139.9824176,2021 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2024年6月11日
李園,神奈川県横浜市中区本郷町1-18,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140106/14000539/,,https://www.google.com/maps/search/?api=1&query=%E6%9D%8E%E5%9C%92%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%9C%AC%E9%83%B7%E7%94%BA1-18,35.4325105,139.6534433,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
中華園,栃木県宇都宮市泉町2-12,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/tochigi/A0901/A090101/9000148/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E5%9C%92%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%E6%B3%89%E7%94%BA2-12,36.5627655,139.8810112,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
南粤美食,神奈川県横浜市中区山下町165-2 INビル,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14064517/,https://tabelog.com/kanagawa/A1401/A140105/14064517/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%8D%97%E7%B2%A4%E7%BE%8E%E9%A3%9F%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA165-2%20IN%E3%83%93%E3%83%AB,35.4437580,139.6469368,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
中華菜館 同發 本館,神奈川県横浜市中区山下町148,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14000152/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E8%8F%9C%E9%A4%A8%20%E5%90%8C%E7%99%BC%20%E6%9C%AC%E9%A4%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA148,35.4433902,139.6460594,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
永吉,埼玉県川口市西川口1-5-5 MFハイツ 1F,食べログ 百名店: 2021 | 2024 / 中国料理 EAST,https://tabelog.com/saitama/A1102/A110201/11033146/,,https://www.google.com/maps/search/?api=1&query=%E6%B0%B8%E5%90%89%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82%E8%A5%BF%E5%B7%9D%E5%8F%A31-5-5%20MF%E3%83%8F%E3%82%A4%E3%83%84%201F,35.8147802,139.7039522,2021 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2024年6月11日
中華菜館 同發 別館,神奈川県横浜市中区山下町148,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14003796/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E8%8F%AF%E8%8F%9C%E9%A4%A8%20%E5%90%8C%E7%99%BC%20%E5%88%A5%E9%A4%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA148,35.4433011,139.6458169,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
玉林酒家,北海道札幌市東区北四十三条東16-1-10,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/hokkaido/A0101/A010202/1001655/,,https://www.google.com/maps/search/?api=1&query=%E7%8E%89%E6%9E%97%E9%85%92%E5%AE%B6%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E6%9D%B1%E5%8C%BA%E5%8C%97%E5%9B%9B%E5%8D%81%E4%B8%89%E6%9D%A1%E6%9D%B116-1-10,43.1155597,141.3669463,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
中国旬菜 茶馬燕,神奈川県藤沢市南藤沢20-15 第一興産18号館ビル 6F,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/kanagawa/A1404/A140404/14031172/,,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%97%AC%E8%8F%9C%20%E8%8C%B6%E9%A6%AC%E7%87%95%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E8%97%A4%E6%B2%A2%E5%B8%82%E5%8D%97%E8%97%A4%E6%B2%A220-15%20%E7%AC%AC%E4%B8%80%E8%88%88%E7%94%A318%E5%8F%B7%E9%A4%A8%E3%83%93%E3%83%AB%206F,35.3369819,139.4889607,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
China Table 花木蘭,神奈川県横浜市戸塚区戸塚町121-7,食べログ 百名店: 2021 | 2023 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140305/14011856/,,https://www.google.com/maps/search/?api=1&query=China%20Table%20%E8%8A%B1%E6%9C%A8%E8%98%AD%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%88%B8%E5%A1%9A%E5%8C%BA%E6%88%B8%E5%A1%9A%E7%94%BA121-7,35.3978599,139.5319368,2021 | 2023,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日
チムウォック,北海道札幌市中央区南2条西8-4-3-1 TANUHACHI GARDEN 1F,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/hokkaido/A0101/A010103/1047753/,,https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A0%E3%82%A6%E3%82%A9%E3%83%83%E3%82%AF%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%972%E6%9D%A1%E8%A5%BF8-4-3-1%20TANUHACHI%20GARDEN%201F,43.0564862,141.3458604,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
四川料理 桃源郷,北海道札幌市中央区南十条西3-1-1 札幌パークホテル 4F,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/hokkaido/A0101/A010104/1000033/,https://tabelog.com/hokkaido/A0101/A010104/1000033/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E5%9B%9B%E5%B7%9D%E6%96%99%E7%90%86%20%E6%A1%83%E6%BA%90%E9%83%B7%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%8D%97%E5%8D%81%E6%9D%A1%E8%A5%BF3-1-1%20%E6%9C%AD%E5%B9%8C%E3%83%91%E3%83%BC%E3%82%AF%E3%83%9B%E3%83%86%E3%83%AB%204F,43.0475148,141.3561490,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
中国料理 美麗華,北海道札幌市豊平区豊平四条1 プレミアホテル‐TSUBAKI‐札幌 3F,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/hokkaido/A0101/A010303/1004037/,https://tabelog.com/hokkaido/A0101/A010303/1004037/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E7%BE%8E%E9%BA%97%E8%8F%AF%20%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%E8%B1%8A%E5%B9%B3%E5%8C%BA%E8%B1%8A%E5%B9%B3%E5%9B%9B%E6%9D%A11%20%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%9B%E3%83%86%E3%83%AB%E2%80%90TSUBAKI%E2%80%90%E6%9C%AD%E5%B9%8C%203F,43.0542372,141.3650548,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
海鮮中国料理黄河,愛知県名古屋市西区那古野2-11-15,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/aichi/A2301/A230101/23010210/,https://tabelog.com/aichi/A2301/A230101/23010210/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E9%AE%AE%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%E9%BB%84%E6%B2%B3%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E9%82%A3%E5%8F%A4%E9%87%8E2-11-15,35.1776049,136.8862196,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
海員閣,神奈川県横浜市中区山下町147,食べログ 百名店: 2021 | 2023 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14000137/,,https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E5%93%A1%E9%96%A3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA147,35.4430676,139.6457848,2021 | 2023,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日
梨杏,愛知県名古屋市中村区名駅1-1-4 名古屋マリオットアソシアホテル 18F,食べログ 百名店: 2021 | 2023 / 中国料理 EAST,https://tabelog.com/aichi/A2301/A230101/23000323/,https://tabelog.com/aichi/A2301/A230101/23000323/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E6%A2%A8%E6%9D%8F%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E6%9D%91%E5%8C%BA%E5%90%8D%E9%A7%851-1-4%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E3%83%9E%E3%83%AA%E3%82%AA%E3%83%83%E3%83%88%E3%82%A2%E3%82%BD%E3%82%B7%E3%82%A2%E3%83%9B%E3%83%86%E3%83%AB%2018F,35.1703391,136.8830692,2021 | 2023,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日
菜香新館,神奈川県横浜市中区山下町192,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14003055/,,https://www.google.com/maps/search/?api=1&query=%E8%8F%9C%E9%A6%99%E6%96%B0%E9%A4%A8%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA192,35.4430662,139.6468173,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
中国料理 吉珍樓 ルーセントタワー店,愛知県名古屋市西区牛島町6-1 名古屋ルーセントタワー 2F,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/aichi/A2301/A230101/23006292/,https://tabelog.com/aichi/A2301/A230101/23006292/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E5%90%89%E7%8F%8D%E6%A8%93%20%E3%83%AB%E3%83%BC%E3%82%BB%E3%83%B3%E3%83%88%E3%82%BF%E3%83%AF%E3%83%BC%E5%BA%97%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%E7%89%9B%E5%B3%B6%E7%94%BA6-1%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E3%83%AB%E3%83%BC%E3%82%BB%E3%83%B3%E3%83%88%E3%82%BF%E3%83%AF%E3%83%BC%202F,35.1749177,136.8811455,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
招福門 横浜本店,神奈川県横浜市中区山下町81-3,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14000514/,,https://www.google.com/maps/search/?api=1&query=%E6%8B%9B%E7%A6%8F%E9%96%80%20%E6%A8%AA%E6%B5%9C%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA81-3,35.4428436,139.6479059,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
清風楼,神奈川県横浜市中区山下町190,食べログ 百名店: 2021 | 2024 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14000501/,,https://www.google.com/maps/search/?api=1&query=%E6%B8%85%E9%A2%A8%E6%A5%BC%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA190,35.4424122,139.6465231,2021 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2024年6月11日
中国四川酒家 蔓山,千葉県千葉市花見川区幕張本郷6-25-4 マリオット本郷 1F,食べログ 百名店: 2021 | 2023 | 2024 / 中国料理 EAST,https://tabelog.com/chiba/A1201/A120102/12020350/,https://tabelog.com/chiba/A1201/A120102/12020350/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E5%9B%9B%E5%B7%9D%E9%85%92%E5%AE%B6%20%E8%94%93%E5%B1%B1%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E8%8A%B1%E8%A6%8B%E5%B7%9D%E5%8C%BA%E5%B9%95%E5%BC%B5%E6%9C%AC%E9%83%B76-25-4%20%E3%83%9E%E3%83%AA%E3%82%AA%E3%83%83%E3%83%88%E6%9C%AC%E9%83%B7%201F,35.6740497,140.0440217,2021 | 2023 | 2024,中国料理 EAST,chinese_east,発表日：2021年4月27日 | 発表日：2023年3月27日 | 発表日：2024年6月11日
状元樓 横浜中華街本店,神奈川県横浜市中区山下町191,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/kanagawa/A1401/A140105/14000502/,https://tabelog.com/kanagawa/A1401/A140105/14000502/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E7%8A%B6%E5%85%83%E6%A8%93%20%E6%A8%AA%E6%B5%9C%E4%B8%AD%E8%8F%AF%E8%A1%97%E6%9C%AC%E5%BA%97%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%B1%B1%E4%B8%8B%E7%94%BA191,35.4434355,139.6462342,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
中国料理 「王朝」 ヒルトン名古屋,愛知県名古屋市中区栄1-3-3 ヒルトン名古屋 3F,食べログ 百名店: 2021 / 中国料理 EAST,https://tabelog.com/aichi/A2301/A230102/23000319/,https://tabelog.com/aichi/A2301/A230102/23000319/?cid=google_yoyaku,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E5%9B%BD%E6%96%99%E7%90%86%20%E3%80%8C%E7%8E%8B%E6%9C%9D%E3%80%8D%20%E3%83%92%E3%83%AB%E3%83%88%E3%83%B3%E5%90%8D%E5%8F%A4%E5%B1%8B%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%841-3-3%20%E3%83%92%E3%83%AB%E3%83%88%E3%83%B3%E5%90%8D%E5%8F%A4%E5%B1%8B%203F,35.1676164,136.8946895,2021,中国料理 EAST,chinese_east,発表日：2021年4月27日
